Year,Population
2009-01-01,3306836.0
2009-01-02,3306970.939726027
2009-01-03,3307105.879452055
2009-01-04,3307240.819178082
2009-01-05,3307375.7589041097
2009-01-06,3307510.698630137
2009-01-07,3307645.6383561646
2009-01-08,3307780.5780821918
2009-01-09,3307915.517808219
2009-01-10,3308050.4575342466
2009-01-11,3308185.397260274
2009-01-12,3308320.3369863015
2009-01-13,3308455.2767123287
2009-01-14,3308590.2164383563
2009-01-15,3308725.1561643835
2009-01-16,3308860.095890411
2009-01-17,3308995.0356164384
2009-01-18,3309129.9753424656
2009-01-19,3309264.915068493
2009-01-20,3309399.8547945204
2009-01-21,3309534.794520548
2009-01-22,3309669.7342465753
2009-01-23,3309804.673972603
2009-01-24,3309939.61369863
2009-01-25,3310074.5534246573
2009-01-26,3310209.493150685
2009-01-27,3310344.432876712
2009-01-28,3310479.37260274
2009-01-29,3310614.312328767
2009-01-30,3310749.2520547947
2009-01-31,3310884.191780822
2009-02-01,3311019.1315068495
2009-02-02,3311154.0712328767
2009-02-03,3311289.010958904
2009-02-04,3311423.9506849316
2009-02-05,3311558.890410959
2009-02-06,3311693.8301369864
2009-02-07,3311828.7698630136
2009-02-08,3311963.7095890413
2009-02-09,3312098.6493150685
2009-02-10,3312233.5890410957
2009-02-11,3312368.5287671234
2009-02-12,3312503.4684931505
2009-02-13,3312638.408219178
2009-02-14,3312773.3479452054
2009-02-15,3312908.287671233
2009-02-16,3313043.2273972603
2009-02-17,3313178.1671232875
2009-02-18,3313313.106849315
2009-02-19,3313448.0465753423
2009-02-20,3313582.98630137
2009-02-21,3313717.926027397
2009-02-22,3313852.865753425
2009-02-23,3313987.805479452
2009-02-24,3314122.7452054797
2009-02-25,3314257.684931507
2009-02-26,3314392.624657534
2009-02-27,3314527.5643835617
2009-02-28,3314662.504109589
2009-03-01,3314797.4438356166
2009-03-02,3314932.383561644
2009-03-03,3315067.3232876714
2009-03-04,3315202.2630136986
2009-03-05,3315337.202739726
